# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "play_data_ref_annot/chr19_20Mb.gtf" "-o" "data_output_featureCount/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001.txt" "data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam
ENSG00000099804.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	531714;531769;532060;535837;535837;535837;535837;535837;536243;536243;536243;536243;536243;536951;536994;537010;537013;537013;537013;538678;538932;541184;541219;541339;541339;541339;541339;541343;541346;541361;541814	532108;532108;532108;535923;535923;535923;535923;535923;536278;536340;536715;536340;536340;537147;537147;537147;537147;537147;537147;538768;539032;541252;541252;541585;541426;542086;542092;541585;541585;541585;542097	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2172	959
ENSG00000197540.3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	544034;544034;547280;547284;548542;548542;548922;548922;549630;549630	544126;544126;547436;547436;548677;548677;549185;549185;549731;549919	+;+;+;+;+;+;+;+;+;+	940	33
ENSG00000267751.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	567212;567229;567311;567410;571440;571440;571440;571440;571697;571697;572109	567624;567648;567624;567624;571596;571596;571596;571745;571736;571734;572215	-;-;-;-;-;-;-;-;-;-;-	850	61
ENSG00000172270.14	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	571297;571305;572565;572572;572572;572578;572596;572596;575047;575052;575221;577774;577774;577774;578848;579500;579500;579500;579500;579500;579500;579500;579500;579524;580379;580379;580379;580379;580379;580379;580379;580379;580379;580646;580646;580646;580646;580646;580646;580646;580646;581315;581315;581315;581315;581315;581315;581315;582306;582306;582306;582306;582306;582514;582514;582514;582514;582514;582750;582750;582750;582750;582750	571579;571579;572701;572701;572701;572701;572701;572701;575140;575140;575386;578121;578212;578121;579656;579629;579656;579656;579656;579656;579979;579656;579656;579656;580461;580461;580695;580461;580461;580461;580461;580461;580461;580775;580782;580782;580782;580782;580782;580782;580782;581591;581402;581591;581376;581591;581591;581591;582330;582330;582330;582330;582330;582582;582582;582582;582582;582582;583492;583493;583490;583493;583493	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3770	11413
ENSG00000099822.2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	589893;603544;605061;607964;610259;613248;613852;615795	590577;603967;605222;608182;610405;613488;614016;617159	+;+;+;+;+;+;+;+	3408	435
ENSG00000267036.1	chr19	590277	591603	-	1327	40
ENSG00000266939.1	chr19;chr19	615886;616709	615940;617159	-;-	506	98
ENSG00000099821.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	617223;617224;617227;617269;617278;617419;617419;617419;617419;617419;617570;617570;617570;617570;617570;617777;617777;617777;618488;618488;618705;618705;618705;618997;619210;619586;619958;620365;621058;621600;622149;622149;622535;622582;622582;622821;622821;622821;623454;623454;623454;623461;624719;624719;624719;624719;624725;625124;625124;625124;625124;629540;629540;630099;630629;632740;632834;632834;633200;633425;633425	617323;617323;617323;617323;617323;617480;617480;617480;617480;617480;617655;618586;617655;617802;617655;617870;617849;617988;618586;618586;618746;618751;618760;619110;619296;619765;620080;620487;621846;621846;622373;622373;622752;622752;622752;622985;622985;622985;623603;623603;623603;623603;624905;624905;625086;624905;624905;625509;625254;625212;625254;630168;630168;630168;630939;632938;632938;632938;633525;633504;633597	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5701	677
ENSG00000272448.1	chr19	623519	623982	+	464	52
ENSG00000261204.1	chr19	637105	637537	-	433	9
ENSG00000070388.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	639879;639895;639895;641178;643235;643235;643235;643410;643410;643433	641590;640139;640139;641268;643338;643338;643338;643703;643703;643703	+;+;+;+;+;+;+;+;+;+	2110	6
ENSG00000070423.13	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	647526;647530;647810;648099;648372;648372;648372;648372;648882;648882;648882;648882;648934;649679;649679;649679;649679;649679;650234;650234;650234;650234;650234;650234;651385;651610;651610;651610;651611;651611;651611;651611;651692;652233;652233;652233;652233;652233;652233;652233;652233;652358;652826;652826;652826;652826;652826;652826;652826;652826;661356;662712;663047;663047;663047;663047;663047;663047;663047	648277;648277;648277;648277;648487;648487;648487;648487;649119;648975;649748;648975;648975;649748;649748;649748;649748;649748;650296;650296;650296;650594;650296;650296;651855;651822;651810;651855;651784;651915;651917;651855;651855;652296;652296;652296;652296;652296;652296;652296;652296;652884;652884;652884;652884;652884;652884;652884;652884;652884;661402;662890;663163;663198;663161;663184;663233;663194;663277	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3677	482
ENSG00000267666.1	chr19;chr19	663482;667212	664511;668063	+;+	1882	6
ENSG00000070404.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	676392;676397;677792;677942;678061;679908;680034;680274;680274;680274;680715;680715;680751;680751;681333;681333;681333;681333;681333;681333;681333;681333;681650;681650;681650;681650;681650;681650;681776	676526;676526;677977;677977;678083;680333;680489;680489;680489;680489;680774;680879;680812;680879;681771;681560;681560;681560;681560;681756;681560;681560;681809;682205;681943;681794;683385;681673;682054	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3144	819
ENSG00000185198.7	chr19;chr19;chr19;chr19;chr19	685521;686925;691858;694814;695352	685922;687188;692002;694970;695460	-;-;-;-;-	1077	1
ENSG00000213726.4	chr19	690381	691175	+	795	0
ENSG00000099864.13	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	708953;708975;709097;709101;719078;722504;726138;726138;726138;726138;726138;726138;726138;727008;727008;727008;727008;727008;727008;727564;727564;727564;727564;727786;731095;731095;731095;731095;731095;734173;734173;734173;734173;734173;735030;735033;735055;736019;736019;736019;736019;736019;736019;736019;740352;740352;740352;740352;746285;746285;746285;746285;746285;746285	709151;709151;709151;709151;719657;722907;726173;726189;726189;726189;726189;726189;726189;727088;727088;727088;727088;727390;727088;727694;727694;727694;727694;727864;731245;731245;731245;731245;731245;734194;734194;734194;735048;734194;735064;735064;735110;736078;736078;736078;736078;736139;736078;736078;740483;740483;740483;740483;746771;746609;747298;746771;748329;748328	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5215	461
ENSG00000099812.6	chr19;chr19;chr19;chr19;chr19	751126;756890;759909;761625;763501	751171;758726;760039;761663;764319	+;+;+;+;+	2872	520
ENSG00000272473.1	chr19	781002	781862	-	861	6
ENSG00000267530.2	chr19;chr19;chr19;chr19	782755;782796;784787;784815	783330;783330;785080;784948	+;+;+;+	870	50
ENSG00000266927.2	chr19	786650	787037	+	388	6
ENSG00000011304.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	797075;797392;797425;797425;797427;797428;797432;797452;797462;797486;798428;799413;799413;799413;799413;799413;799413;799413;799413;799413;799413;803561;803561;803561;803561;803561;803561;803561;803561;803561;803575;804036;804036;804036;804036;804036;804036;804036;804036;804036;804036;804292;804292;804292;804292;804292;804292;804292;804532;804532;804532;804532;804532;804532;804541;804623;804829;804829;804829;804829;804829;804829;804829;804829;804858;804918;805013;805013;805013;805013;805013;805013;805013;805119;805492;805492;805492;805508;805513;805513;806408;806408;806408;806408;806408;806408;807570;807859;807869;807869;807869;807869;808285;808360;808360;808360;808360;808360;808360;808360;808380;808546;808546;808546;808546;808546;808546;808546;808546;808546;810543;810543;810543;810543;810543;810543;810694;810694;810694;810694;810694;810694	797505;797505;797505;797505;797505;797505;797505;797505;797505;797505;798545;799443;799443;799443;799443;799443;799443;799443;799443;799443;799443;803636;803636;803636;803636;803636;803636;803636;803636;803636;803636;804083;804702;804208;804208;804208;804208;804208;804438;804208;804208;804438;804438;804702;804438;804438;804438;804438;804702;804702;804702;804702;804582;804702;804702;804702;804939;804939;804939;804939;804939;804939;804939;804939;805187;804939;805187;805141;805187;805187;807902;805187;805187;805187;806036;805569;805569;805569;806045;805569;807028;806660;806556;806556;806556;806556;807902;808452;807902;807902;807902;807902;808452;808452;808762;808452;808452;808452;808452;808452;808452;808762;808667;808733;808646;808762;808762;808762;808762;808762;810620;810620;810620;810620;810620;810620;811021;812320;811289;812320;812327;812320	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6969	9694
ENSG00000265767.1	chr19	804940	805001	+	62	0
ENSG00000129951.14	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	812518;812518;813758;814434;814434;814434;814692;814692;814886;814886;815186;815186;815186;815666;815666;815666;821485;821485;821485;821915;821915	813895;813895;813895;814571;814607;814749;814749;814749;815081;815081;815327;815327;815327;815851;815851;815851;821967;821585;821585;821967;821952	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2701	129
ENSG00000263414.1	chr19	813584	813653	+	70	14
ENSG00000172232.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	825097;827826;828230;828230;829562;829562;830708;830708;831716	825197;827904;828386;828386;829706;829706;832017;830941;832017	+;+;+;+;+;+;+;+;+	1792	625
ENSG00000196415.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	840963;843341;843461;843893;843893;846147;846147;847799;847799	841069;843626;843626;844034;844034;846377;846377;848175;848175	+;+;+;+;+;+;+;+;+	1143	360
ENSG00000197561.2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	851014;852209;852291;852876;852876;853262;853262;855564;855564;855958;855958	851034;852395;852395;853032;853032;853403;853403;855794;855794;856242;856242	+;+;+;+;+;+;+;+;+;+;+	1023	844
ENSG00000197766.3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	859453;859690;860617;860617;860861;860861;861699;861699;863092;863092	859744;859765;860773;860773;861005;861005;861956;861956;863238;863453	+;+;+;+;+;+;+;+;+;+	1235	201
ENSG00000175221.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	867962;867963;867963;867963;867963;867964;867964;868416;868416;868863;868863;868863;868863;868863;868863;868863;871037;871037;871037;871037;871037;871037;871037;871606;871926;871926;871926;871926;871926;872913;873449;873449;873449;873449;873449;873449;873449;873536;873536;873536;875244;875244;875244;875244;875244;875244;875244;875244;875244;875244;876974;876974;876974;876974;876974;876974;876974;876974;879937;879937;879937;879937;879937;879937;879937;879937;879937;881559;881559;881559;881559;881559;881559;881559;881559;881559;884903;884903;884903;884903;884903;884903;884903;884903;884903;885770;885770;885770;885770;885770;885770;885770;885770;885822;889638;889638;889638;889638;889638;889638;889638;889638;890137;890137;890137;890137;890137;890137;890137;890137;890137;890963;890963;890963;890963;890963;890963;890963;890963;890963;890984;891104;892347;893086;893086;893086;893086;893086;893086	868499;868499;868499;868251;868499;868499;868251;868499;868499;868946;868946;868946;868946;868946;868946;868946;871253;871253;871253;871253;871253;871253;871253;871662;872118;872118;872118;872118;872118;873009;873582;873582;873582;873582;873582;873582;873582;873582;873582;873582;875454;875454;875344;875454;875454;875454;875454;875454;875454;875454;877180;877180;877180;877180;877180;877180;877180;877180;880148;880148;880148;880148;880148;880148;880148;880148;880148;881714;881714;881714;881714;881714;881714;881714;881714;881714;885008;885008;885008;885008;885008;885008;885008;885008;885008;886201;886201;886201;886201;886201;886201;885909;886201;886201;889807;889807;889807;889807;889807;889807;889807;889807;890423;890244;890244;890244;890244;890244;890244;890244;890244;891149;891148;891148;891149;891149;891149;891149;891131;891149;891149;891148;892815;893158;893200;893218;893218;893216;893218	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3890	493
ENSG00000207507.1	chr19	893484	893590	+	107	4
ENSG00000198858.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	896503;896528;896554;899440;899440;899440;899601;899601;899601;899644;900061;900061;900061;900061;900076;900820;900823;900829;900829;900829;900829;900829;901420;901422;901422;901422;901422;901491;901976;901976;901976;901976;901976;901976;902242;902242;902519;902519;913087;913087;913087;913087;913087;913087;913087	897540;897540;897540;899495;899495;899495;899686;899686;899686;899686;900146;900146;900146;900146;900146;900952;900952;900952;901236;900952;900952;900952;901546;901546;901546;901546;901546;902130;902130;902130;902434;902067;902130;902130;902434;902434;902627;902627;913151;913204;913204;913210;913240;913219;913231	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2961	428
ENSG00000116014.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	917287;917350;917503;918544;918544;919490;919490;919490;919874;920290;920290	917746;917746;917746;918668;918668;919625;919536;919625;920106;920710;921015	+;+;+;+;+;+;+;+;+;+;+	1680	47
ENSG00000116017.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	925781;926000;926062;928678;929262;929262;929262;929262;932418;932509;959167;960092;960092;960092;964248;964248;964248;964833;964833;964833;966547;966572;966787;968405;968405;968405;968405;971878;971878	925920;926059;926197;929145;929508;929363;929498;929896;932742;932742;959436;960164;960164;960164;964431;964431;964431;965270;965080;965080;966868;966868;966868;968795;968507;968503;968503;972064;975939	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7504	1959
ENSG00000267159.1	chr19;chr19	928257;928720	928488;928817	-;-	330	6
