Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk - polya	(1, 0.003293048374880627)	(2, 0.003293048374880627)	(3, 0.006586096749761254)	(4, 0.006586096749761254)	(5, 0.006586096749761254)	(6, 0.01756292466603001)	(7, 0.023051338624164388)	(8, 0.024149021415791266)	(9, 0.02524670420741814)	(10, 0.026783460115695767)	(15, 0.030076508490576394)	(20, 0.038638434265266024)	(25, 0.04434638478172578)	(30, 0.0502738718565109)	(35, 0.05773811483957366)	(40, 0.0643242115893349)	(45, 0.07200799113072304)	(50, 0.08013084378876192)	(55, 0.09264442761330831)	(60, 0.10669476734613233)	(65, 0.11328086409589358)	(70, 0.12162325331225783)	(75, 0.1387471048616371)	(80, 0.16201798004412687)	(85, 0.18814283048484648)	(90, 0.2155849002755184)	(95, 0.23556272708312748)	(100, 0.2535647248658083)	(105, 0.27068857641518757)	(110, 0.28627567205628923)	(115, 0.30515581607227144)	(120, 0.3134982052886357)	(125, 0.32820715469643585)	(130, 0.3347932514461971)	(135, 0.34379425033753747)	(140, 0.3512584933206002)
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001_bbduk - polyg	(1, 0.029637435373925644)	(2, 0.029637435373925644)	(3, 0.029637435373925644)	(4, 0.029637435373925644)	(5, 0.029637435373925644)	(6, 0.029637435373925644)	(7, 0.029637435373925644)	(8, 0.03073511816555252)	(9, 0.03073511816555252)	(10, 0.030735118165552515)	(15, 0.030735118165552515)	(20, 0.030735118165552515)	(25, 0.030735118165552515)	(30, 0.03139372784052864)	(35, 0.03183280095717939)	(40, 0.03205233751550477)	(45, 0.034686776215409276)	(50, 0.0397361170568929)	(55, 0.04171194608182128)	(60, 0.044126848223400406)	(65, 0.04522453101502728)	(70, 0.04785896971493178)	(75, 0.052030164323113914)	(80, 0.0643242115893349)	(85, 0.07925269755546041)	(90, 0.08781462333015007)	(95, 0.09330303728828442)	(100, 0.10010867059637105)	(105, 0.10449940176287856)	(110, 0.10889013292938605)	(115, 0.1121831813042667)	(120, 0.11854974149570256)	(125, 0.12491630168713845)	(130, 0.1332586909035027)	(135, 0.14533320161139834)	(140, 0.15587095641101634)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00026838792791100257)	(65, 0.002281297387243522)	(70, 0.003757430990754036)	(75, 0.005636146486131054)	(80, 0.008588413693152082)	(85, 0.012211650719950617)	(90, 0.021739422160791208)	(95, 0.03341429702491981)	(100, 0.04723627531233645)	(105, 0.06441310269864062)	(110, 0.09152028341765187)	(115, 0.11379648143426509)	(120, 0.14694239053127392)	(125, 0.18263798494343725)	(130, 0.209074195842671)	(135, 0.21752841557186758)	(140, 0.21806519142768957)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk - polya	(1, 0.04696788738442545)	(2, 0.04830982702398046)	(3, 0.052335645942645496)	(4, 0.055690495041533034)	(5, 0.06105825359975308)	(6, 0.0738066801755257)	(7, 0.07716152927441323)	(8, 0.08051637837330076)	(9, 0.08320025765241079)	(10, 0.09017834377809686)	(15, 0.10641581341671254)	(20, 0.11232034783075458)	(25, 0.12828942954145922)	(30, 0.14788174827896242)	(35, 0.1665347092687771)	(40, 0.18183282115970426)	(45, 0.1881399374656128)	(50, 0.1956547994471209)	(55, 0.20585354070773895)	(60, 0.2212858465626216)	(65, 0.23269233349883925)	(70, 0.24248849286759083)	(75, 0.2592627383620285)	(80, 0.27563440196459965)	(85, 0.2937505870985923)	(90, 0.30824353520578646)	(95, 0.32515197466417967)	(100, 0.33870556502368526)	(105, 0.35709013808558887)	(110, 0.3850024825883332)	(115, 0.40929159006427895)	(120, 0.4349226371797797)	(125, 0.45974852051154735)	(130, 0.4844402098793596)	(135, 0.5038983346529073)	(140, 0.5213435499671225)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0008051637837330078)	(35, 0.0026838792791100256)	(40, 0.004965176666353547)	(45, 0.010735517116440104)	(50, 0.01677424549443766)	(55, 0.017445215314215168)	(60, 0.01878715495377018)	(65, 0.02200781008870221)	(70, 0.02764395657483327)	(75, 0.032743327205142315)	(80, 0.03905044351105087)	(85, 0.04804143909606946)	(90, 0.05595888296944403)	(95, 0.06656020612192863)	(100, 0.07501442585112521)	(105, 0.08548155503965431)	(110, 0.0944725506246729)	(115, 0.10225580053409197)	(120, 0.10856291684000055)	(125, 0.11648036071337513)	(130, 0.13070492089265826)	(135, 0.14546625692776338)	(140, 0.15298111890927146)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0026838792791100256)	(2, 0.0026838792791100256)	(3, 0.0026838792791100256)	(4, 0.0026838792791100256)	(5, 0.0026838792791100256)	(6, 0.0026838792791100256)	(7, 0.0026838792791100256)	(8, 0.0026838792791100256)	(9, 0.0026838792791100256)	(10, 0.0026838792791100256)	(15, 0.0026838792791100256)	(20, 0.0026838792791100256)	(25, 0.0026838792791100256)	(30, 0.0026838792791100256)	(35, 0.0026838792791100256)	(40, 0.0026838792791100256)	(45, 0.0026838792791100256)	(50, 0.0026838792791100256)	(55, 0.0030864611709765294)	(60, 0.004160012882620539)	(65, 0.005770340450086555)	(70, 0.007649055945463573)	(75, 0.01274842657577262)	(80, 0.017713603242126168)	(85, 0.02576524107945624)	(90, 0.037976891799406866)	(95, 0.056093076933399544)	(100, 0.08239509386867779)	(105, 0.10816033494813401)	(110, 0.14036688629745434)	(115, 0.16948697647579813)	(120, 0.21310001476133605)	(125, 0.26852212187495805)	(130, 0.3183080825024491)	(135, 0.33226425475382115)	(140, 0.33280103060964317)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk - polya	(1, 0.0046967887384425444)	(2, 0.0073806680175525705)	(3, 0.012748426575772622)	(4, 0.013419396395550127)	(5, 0.015432305854882648)	(6, 0.016103275674660154)	(7, 0.016103275674660154)	(8, 0.02012909459332519)	(9, 0.02012909459332519)	(10, 0.02308136180034622)	(15, 0.030596223781854292)	(20, 0.03690334008776285)	(25, 0.04643111152860344)	(30, 0.06065567170788657)	(35, 0.07407506810343671)	(40, 0.0834686455803218)	(45, 0.09138608945369638)	(50, 0.10024289107475945)	(55, 0.11030743837142205)	(60, 0.12104295548786215)	(65, 0.13271783035199075)	(70, 0.1391591406218548)	(75, 0.15311531287322694)	(80, 0.1655953515210886)	(85, 0.17539151088984017)	(90, 0.18679799782605777)	(95, 0.1972651270145869)	(100, 0.20464579503213948)	(105, 0.20987935962640397)	(110, 0.21887035521142262)	(115, 0.22437230773359818)	(120, 0.2285323206162187)	(125, 0.23738912223728176)	(130, 0.24208591097572435)	(135, 0.25121110052469836)	(140, 0.25765241079456247)
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001_bbduk - polyg	(1, 0.02214200405265771)	(2, 0.023483943692212725)	(3, 0.026167822971322748)	(4, 0.026838792791100255)	(5, 0.02750976261087776)	(6, 0.02750976261087776)	(7, 0.02750976261087776)	(8, 0.02750976261087776)	(9, 0.028851702250432775)	(10, 0.02912009017834378)	(15, 0.030730417745809795)	(20, 0.03220655134932031)	(25, 0.036366564231940846)	(30, 0.03837947369127337)	(35, 0.03985560729478388)	(40, 0.04549175378091493)	(45, 0.0512620942310015)	(50, 0.057569210536910054)	(55, 0.06132664152766408)	(60, 0.06629181819401762)	(65, 0.0723305465720152)	(70, 0.07716152927441325)	(75, 0.08279767576054428)	(80, 0.09031253774205236)	(85, 0.09916933936311545)	(90, 0.10547645566902401)	(95, 0.11916423999248513)	(100, 0.13016814503683624)	(105, 0.14144043800909833)	(110, 0.15056562755807243)	(115, 0.16385082998966707)	(120, 0.17284182557468566)	(125, 0.18518767025859179)	(130, 0.20155933386116293)	(135, 0.22974006629181823)	(140, 0.25027174277700986)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00026931674342193856)	(55, 0.0016159004605316313)	(60, 0.002019875575664539)	(65, 0.0039050927796181086)	(70, 0.005655651611860709)	(75, 0.00740621044410331)	(80, 0.01090732810858851)	(85, 0.01481242088820662)	(90, 0.023026581562575747)	(95, 0.03716571059222752)	(100, 0.05507527402978644)	(105, 0.0709649618916808)	(110, 0.09304893485227976)	(115, 0.11715278338854325)	(120, 0.14704694190837844)	(125, 0.1785570008887453)	(130, 0.20575799197436107)	(135, 0.21962780426059086)	(140, 0.22016643774743475)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk - polya	(1, 0.0464571382402844)	(2, 0.04780372195739409)	(3, 0.050496889391613474)	(4, 0.05319005682583286)	(5, 0.05655651611860709)	(6, 0.059249683552826476)	(7, 0.06800247771403949)	(8, 0.0740621044410331)	(9, 0.07877514745091703)	(10, 0.0837575072042229)	(15, 0.0937222267108346)	(20, 0.10503352993455603)	(25, 0.1213271929115833)	(30, 0.13964073146427514)	(35, 0.15755029490183406)	(40, 0.17896097600387817)	(45, 0.19121488782957635)	(50, 0.19929439013223454)	(55, 0.21235625218819854)	(60, 0.22838059842180386)	(65, 0.24076916861921305)	(70, 0.2545043225337319)	(75, 0.26864345156338365)	(80, 0.2858797231423878)	(85, 0.30634779564245507)	(90, 0.3293743772050309)	(95, 0.35132369179391876)	(100, 0.37233039778083)	(105, 0.4010126309552665)	(110, 0.4346772238830088)	(115, 0.4628208235706014)	(120, 0.47669063585683125)	(125, 0.4986399504457192)	(130, 0.5204546066628961)	(135, 0.538768145215588)	(140, 0.5527726158735289)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004039751151329078)	(15, 0.0009426086019767849)	(20, 0.0026931674342193855)	(25, 0.0039050927796181094)	(30, 0.004578384638172955)	(35, 0.006598260213837494)	(40, 0.009964719506611727)	(45, 0.011984595082276266)	(50, 0.015485712746761466)	(55, 0.015889687861894375)	(60, 0.017101613207293094)	(65, 0.02019875575664539)	(70, 0.024642482023107377)	(75, 0.034472543158008136)	(80, 0.03958956128302497)	(85, 0.05211278985214511)	(90, 0.06167353424362393)	(95, 0.07190757049365759)	(100, 0.08470011580619967)	(105, 0.09493415205623333)	(110, 0.10328297110231341)	(115, 0.11001588968786188)	(120, 0.11647949152998842)	(125, 0.12469365220435755)	(130, 0.13856346449058737)	(135, 0.15351054375050496)	(140, 0.16024346233605344)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0026931674342193855)	(2, 0.0026931674342193855)	(3, 0.0026931674342193855)	(4, 0.0026931674342193855)	(5, 0.0026931674342193855)	(6, 0.0026931674342193855)	(7, 0.0026931674342193855)	(8, 0.0026931674342193855)	(9, 0.0026931674342193855)	(10, 0.0026931674342193855)	(15, 0.0026931674342193855)	(20, 0.0026931674342193855)	(25, 0.0026931674342193855)	(30, 0.0026931674342193855)	(35, 0.0026931674342193855)	(40, 0.0026931674342193855)	(45, 0.0026931674342193855)	(50, 0.0026931674342193855)	(55, 0.002827825805930355)	(60, 0.004847701381594894)	(65, 0.008618135789502034)	(70, 0.011715278338854327)	(75, 0.015755029490183405)	(80, 0.02221863133230993)	(85, 0.032452667582343594)	(90, 0.04672645498370634)	(95, 0.06625191888179689)	(100, 0.08914384207266166)	(105, 0.1129783738655032)	(110, 0.14974010934259782)	(115, 0.18825240365193502)	(120, 0.23484420026393044)	(125, 0.28641835662923165)	(130, 0.32277611699119335)	(135, 0.33529934556031343)	(140, 0.33664592927742315)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk - polya	(1, 0.0060596267269936175)	(2, 0.008752794161213003)	(3, 0.010772669736877542)	(4, 0.010772669736877542)	(5, 0.010772669736877542)	(6, 0.013465837171096928)	(7, 0.013465837171096928)	(8, 0.013465837171096928)	(9, 0.01683229646387116)	(10, 0.018717513667824728)	(15, 0.02437316527968544)	(20, 0.029624841776413235)	(25, 0.036223101990250736)	(30, 0.04322533731922114)	(35, 0.05655651611860709)	(40, 0.06261614284560071)	(45, 0.06854111120088335)	(50, 0.07890980582262799)	(55, 0.08712396649699712)	(60, 0.09264495973714686)	(65, 0.10260967924375856)	(70, 0.10947725620101803)	(75, 0.12253911825698202)	(80, 0.1331771296221486)	(85, 0.14462309121758102)	(90, 0.15364520212221594)	(95, 0.1617247044248741)	(100, 0.17195874067490777)	(105, 0.18044221809269884)	(110, 0.18798308690851312)	(115, 0.19511998060919447)	(120, 0.20023699873421133)	(125, 0.20952842638226815)	(130, 0.21801190380005928)	(135, 0.22353289704020898)	(140, 0.22420618889876384)
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001_bbduk - polyg	(1, 0.025585090625084163)	(2, 0.026258382483639008)	(3, 0.0276049662007487)	(4, 0.028278258059303545)	(5, 0.028278258059303545)	(6, 0.028951549917858393)	(7, 0.029624841776413238)	(8, 0.03097142549352293)	(9, 0.03097142549352293)	(10, 0.032452667582343594)	(15, 0.03474185990143007)	(20, 0.037435027335649455)	(25, 0.039320244539603026)	(30, 0.042821362204088234)	(35, 0.04564918801001858)	(40, 0.05143949799359025)	(45, 0.056017882631763216)	(50, 0.05817241657913873)	(55, 0.06288545958902265)	(60, 0.06732918585548464)	(65, 0.07365812932590018)	(70, 0.0779671972206512)	(75, 0.08577738277988742)	(80, 0.09156769276345911)	(85, 0.09883924483585145)	(90, 0.10664943039508765)	(95, 0.12173116802671621)	(100, 0.13183054590503893)	(105, 0.14017936495111902)	(110, 0.15027874282944173)	(115, 0.15889687861894375)	(120, 0.17492122485254907)	(125, 0.19108022945786537)	(130, 0.2097977431256901)	(135, 0.2374027093264388)	(140, 0.2625838248363901)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00019309492546535877)	(65, 0.0028964238819803815)	(70, 0.004054993434772535)	(75, 0.00637213254035684)	(80, 0.013516644782575115)	(85, 0.03147447285085348)	(90, 0.04209469375144821)	(95, 0.06468680003089519)	(100, 0.09867150691279833)	(105, 0.13613192245307792)	(110, 0.1728199582914961)	(115, 0.22958986637831158)	(120, 0.2898354831235035)	(125, 0.3603151309183595)	(130, 0.43156715841507687)	(135, 0.46671043484977215)	(140, 0.4692206688808218)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001_bbduk - polya	(1, 0.0)	(2, 0.0028964238819803815)	(3, 0.0038618985093071753)	(4, 0.007723797018614351)	(5, 0.007723797018614351)	(6, 0.009654746273267938)	(7, 0.010620220900594732)	(8, 0.020274967173862672)	(9, 0.02220591642851626)	(10, 0.029543523596199894)	(15, 0.037074225689348886)	(20, 0.04595659226075539)	(25, 0.054066579130300454)	(30, 0.06217656599984552)	(35, 0.07627249555881672)	(40, 0.0847686722792925)	(45, 0.10697458870780877)	(50, 0.13265621379470147)	(55, 0.16084807291264386)	(60, 0.17455781262068432)	(65, 0.18614350814860584)	(70, 0.1929018305398934)	(75, 0.19753610875106203)	(80, 0.20603228547153782)	(85, 0.23016915115470765)	(90, 0.25585077624160035)	(95, 0.27438788908627487)	(100, 0.29833165984397925)	(105, 0.31319996910481185)	(110, 0.33540588553332823)	(115, 0.3591565613655673)	(120, 0.37441106047733064)	(125, 0.38522437630339074)	(130, 0.4041476789989959)	(135, 0.422491696918205)	(140, 0.42867073453309645)
