Geneid	standard_protocol-UHRR-Collibri-100_ng-3_S4_L001	standard_protocol-HBR-Collibri-100_ng-2_S1_L001	standard_protocol-UHRR-Collibri-100_ng-2_S3_L001	standard_protocol-HBR-Collibri-100_ng-3_S2_L001
ENSG00000185988.7	6	18	3	33
ENSG00000196415.5	79	14	72	12
ENSG00000197540.3	22	0	25	1
ENSG00000197561.2	195	7	226	5
ENSG00000197766.3	198	23	251	15
ENSG00000198683.2	209	106	138	121
ENSG00000198858.5	493	191	374	214
ENSG00000205922.4	1	0	2	0
ENSG00000206082.8	123	46	83	51
ENSG00000207357.1	16	3	4	2
ENSG00000207507.1	3	2	0	1
ENSG00000213638.4	96	30	74	32
ENSG00000213726.4	2	3	2	1
ENSG00000222329.1	1	0	0	0
ENSG00000222720.1	0	0	0	0
ENSG00000223244.1	41	31	35	14
ENSG00000225373.4	27	25	36	11
ENSG00000227500.5	625	394	454	414
ENSG00000228300.9	368	112	319	83
ENSG00000233630.4	0	0	0	2
ENSG00000239367.2	0	0	0	0
ENSG00000240846.1	15	4	22	0
ENSG00000248015.2	66	29	65	15
ENSG00000252539.1	0	0	0	0
ENSG00000252933.1	1	0	2	1
ENSG00000261204.1	4	0	3	1
ENSG00000261526.1	66	10	46	13
ENSG00000263414.1	12	0	3	0
ENSG00000265767.1	20	0	17	5
ENSG00000266399.1	0	0	0	0
ENSG00000266926.1	5	5	11	1
ENSG00000266927.2	0	0	1	0
ENSG00000266933.1	3	0	2	7
ENSG00000266939.1	1	0	4	0
ENSG00000266945.2	0	0	0	0
ENSG00000266971.1	4	0	1	0
ENSG00000266990.1	1	0	1	4
ENSG00000267007.1	0	0	0	0
ENSG00000267020.1	0	0	0	0
ENSG00000267029.3	0	0	0	0
ENSG00000267036.1	0	0	0	4
ENSG00000267059.2	1144	730	950	751
ENSG00000267073.1	1	0	0	0
ENSG00000267092.1	2	3	1	0
ENSG00000267124.2	0	0	0	0
ENSG00000267125.1	1	0	1	0
ENSG00000267141.1	1	0	1	0
ENSG00000267159.1	0	0	0	2
ENSG00000267161.1	41	9	48	13
ENSG00000267232.1	0	0	0	0
ENSG00000267237.2	19	3	13	7
ENSG00000267244.1	0	0	1	0
ENSG00000267290.1	0	3	2	0
ENSG00000267305.1	0	0	0	2
ENSG00000267310.1	0	0	0	0
ENSG00000267317.1	69	6	78	8
ENSG00000267372.1	2	0	0	0
ENSG00000267443.1	0	0	0	0
ENSG00000267447.1	0	0	0	0
ENSG00000267493.2	3	1	4	1
ENSG00000267530.2	29	0	26	1
ENSG00000267588.2	5	5	0	6
ENSG00000267600.1	10	5	2	1
ENSG00000267616.1	2	2	4	2
ENSG00000267639.2	2	1	2	3
ENSG00000267666.1	10	14	10	10
ENSG00000267715.1	1	0	0	0
ENSG00000267736.1	0	0	0	0
ENSG00000267751.1	31	3	23	3
ENSG00000267755.1	0	0	3	1
ENSG00000267759.1	23	3	14	3
ENSG00000267778.1	1	9	2	7
ENSG00000267792.1	0	0	0	0
ENSG00000268798.1	17	7	17	10
ENSG00000269169.1	2	3	0	0
ENSG00000271846.1	0	0	0	0
ENSG00000272098.1	46	17	34	15
ENSG00000272448.1	2	0	2	0
ENSG00000272473.1	1	1	4	0
